latitude,longitude,proposed_20,proposed_30
50.4000015258789,-4.19999980926514,0.0,0.0
50.5,-4.19999980926514,0.0,0.0
50.5999984741211,-4.19999980926514,0.0,0.0
50.7000007629395,-4.19999980926514,0.0,0.0
50.7999992370605,-4.19999980926514,0.0,0.0
50.9000015258789,-4.19999980926514,0.0,0.0
51.0,-4.19999980926514,0.0,0.0
51.0999984741211,-4.19999980926514,0.0,0.0
51.5999984741211,-4.19999980926514,0.0,0.0
51.7000007629395,-4.19999980926514,0.0,0.0
51.7999992370605,-4.19999980926514,0.0,0.0
51.9000015258789,-4.19999980926514,0.0,0.0
52.0,-4.19999980926514,0.0,0.0
52.0999984741211,-4.19999980926514,0.0,0.0
52.2000007629395,-4.19999980926514,0.0,0.0
53.0,-4.19999980926514,0.0,0.0
53.0999984741211,-4.19999980926514,0.0,0.0
53.2000007629395,-4.19999980926514,0.0,0.0
54.9000015258789,-4.19999980926514,0.0,0.0
55.0,-4.19999980926514,0.0,0.0
55.0999984741211,-4.19999980926514,0.0,0.0
55.2000007629395,-4.19999980926514,0.0,0.0
55.2999992370605,-4.19999980926514,0.0,0.0
55.4000015258789,-4.19999980926514,0.0,0.0
55.5,-4.19999980926514,0.0,0.0
55.5999984741211,-4.19999980926514,0.0,0.0
55.7000007629395,-4.19999980926514,0.0,0.0
55.7999992370605,-4.19999980926514,0.0,0.0
55.9000015258789,-4.19999980926514,0.0,0.0
56.0,-4.19999980926514,0.0,0.0
50.4000015258789,-4.09999990463257,0.0,0.0
50.5,-4.09999990463257,0.0,0.0
50.5999984741211,-4.09999990463257,0.0,0.0
50.7000007629395,-4.09999990463257,0.0,0.0
50.7999992370605,-4.09999990463257,0.0,0.0
50.9000015258789,-4.09999990463257,0.0,0.0
51.0,-4.09999990463257,0.0,0.0
51.0999984741211,-4.09999990463257,0.0,0.0
51.2000007629395,-4.09999990463257,0.0,0.0
51.5999984741211,-4.09999990463257,0.0,0.0
51.7000007629395,-4.09999990463257,0.0,0.0
51.7999992370605,-4.09999990463257,0.0,0.0
51.9000015258789,-4.09999990463257,0.0,0.0
52.0,-4.09999990463257,0.0,0.0
52.0999984741211,-4.09999990463257,0.0,0.0
52.2000007629395,-4.09999990463257,0.0,0.0
52.2999992370605,-4.09999990463257,0.0,0.0
52.5999984741211,-4.09999990463257,0.0,0.0
52.7999992370605,-4.09999990463257,0.0,0.0
52.9000015258789,-4.09999990463257,0.0,0.0
53.0,-4.09999990463257,0.0,0.0
53.0999984741211,-4.09999990463257,0.0,0.0
53.2000007629395,-4.09999990463257,0.0,0.0
54.7999992370605,-4.09999990463257,0.0,0.0
54.9000015258789,-4.09999990463257,0.0,0.0
55.0,-4.09999990463257,0.0,0.0
55.0999984741211,-4.09999990463257,0.0,0.0
55.2000007629395,-4.09999990463257,0.0,0.0
55.2999992370605,-4.09999990463257,0.0,0.0
55.4000015258789,-4.09999990463257,0.0,0.0
55.5,-4.09999990463257,0.0,1.0
55.5999984741211,-4.09999990463257,0.0,0.0
55.7000007629395,-4.09999990463257,0.0,0.0
55.7999992370605,-4.09999990463257,0.0,0.0
55.9000015258789,-4.09999990463257,0.0,0.0
56.0,-4.09999990463257,0.0,0.0
50.4000015258789,-4.0,0.0,0.0
50.5,-4.0,0.0,0.0
50.5999984741211,-4.0,0.0,0.0
50.7000007629395,-4.0,0.0,0.0
50.7999992370605,-4.0,0.0,0.0
50.9000015258789,-4.0,0.0,0.0
51.0,-4.0,0.0,0.0
51.0999984741211,-4.0,0.0,0.0
51.2000007629395,-4.0,0.0,0.0
51.5999984741211,-4.0,0.0,0.0
51.7000007629395,-4.0,0.0,0.0
51.7999992370605,-4.0,0.0,0.0
51.9000015258789,-4.0,0.0,0.0
52.0,-4.0,0.0,0.0
52.0999984741211,-4.0,0.0,0.0
52.2000007629395,-4.0,0.0,0.0
52.2999992370605,-4.0,0.0,0.0
52.4000015258789,-4.0,0.0,0.0
52.5,-4.0,0.0,0.0
52.5999984741211,-4.0,0.0,0.0
52.7000007629395,-4.0,0.0,0.0
52.7999992370605,-4.0,0.0,0.0
52.9000015258789,-4.0,0.0,0.0
53.0,-4.0,0.0,0.0
53.0999984741211,-4.0,0.0,0.0
53.2000007629395,-4.0,0.0,0.0
54.7999992370605,-4.0,0.0,0.0
54.9000015258789,-4.0,0.0,0.0
55.0,-4.0,0.0,0.0
55.0999984741211,-4.0,0.0,0.0
55.2000007629395,-4.0,0.0,0.0
55.2999992370605,-4.0,0.0,0.0
55.4000015258789,-4.0,0.0,0.0
55.5,-4.0,0.0,0.0
55.5999984741211,-4.0,0.0,0.0
55.7000007629395,-4.0,0.0,0.0
55.7999992370605,-4.0,0.0,0.0
55.9000015258789,-4.0,0.0,0.0
56.0,-4.0,0.0,0.0
50.4000015258789,-3.90000009536743,0.0,0.0
50.5,-3.90000009536743,0.0,0.0
50.5999984741211,-3.90000009536743,0.0,0.0
50.7000007629395,-3.90000009536743,0.0,0.0
50.7999992370605,-3.90000009536743,0.0,0.0
50.9000015258789,-3.90000009536743,0.0,0.0
51.0,-3.90000009536743,0.0,0.0
51.0999984741211,-3.90000009536743,0.0,0.0
51.2000007629395,-3.90000009536743,0.0,0.0
51.7000007629395,-3.90000009536743,0.0,0.0
51.7999992370605,-3.90000009536743,0.0,0.0
51.9000015258789,-3.90000009536743,0.0,0.0
52.0,-3.90000009536743,0.0,0.0
52.0999984741211,-3.90000009536743,0.0,0.0
52.2000007629395,-3.90000009536743,0.0,0.0
52.2999992370605,-3.90000009536743,1.0,0.0
52.4000015258789,-3.90000009536743,0.0,0.0
52.5,-3.90000009536743,0.0,1.0
52.5999984741211,-3.90000009536743,0.0,0.0
52.7000007629395,-3.90000009536743,0.0,0.0
52.7999992370605,-3.90000009536743,0.0,0.0
52.9000015258789,-3.90000009536743,0.0,0.0
53.0,-3.90000009536743,0.0,0.0
53.0999984741211,-3.90000009536743,0.0,0.0
53.2000007629395,-3.90000009536743,0.0,0.0
54.7999992370605,-3.90000009536743,0.0,0.0
54.9000015258789,-3.90000009536743,0.0,0.0
55.0,-3.90000009536743,0.0,0.0
55.0999984741211,-3.90000009536743,0.0,1.0
55.2000007629395,-3.90000009536743,0.0,0.0
55.2999992370605,-3.90000009536743,0.0,0.0
55.4000015258789,-3.90000009536743,0.0,0.0
55.5,-3.90000009536743,0.0,0.0
55.5999984741211,-3.90000009536743,0.0,1.0
55.7000007629395,-3.90000009536743,0.0,0.0
55.7999992370605,-3.90000009536743,0.0,0.0
55.9000015258789,-3.90000009536743,0.0,1.0
56.0,-3.90000009536743,0.0,0.0
50.2999992370605,-3.79999995231628,0.0,0.0
50.4000015258789,-3.79999995231628,0.0,0.0
50.5,-3.79999995231628,0.0,0.0
50.5999984741211,-3.79999995231628,0.0,0.0
50.7000007629395,-3.79999995231628,0.0,0.0
50.7999992370605,-3.79999995231628,0.0,0.0
50.9000015258789,-3.79999995231628,0.0,0.0
